순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,김상겸,1,2019,5,0,6,7,63,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,김상겸,1,2019,5,0,0,7,63,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,조성희,1,2019,5,0,6,7,64,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,조성희,1,2019,5,0,0,7,64,2
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,공효진,1,2019,1,0,2,8,65,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,공효진,1,2019,1,0,3,8,65,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,류준열,1,2019,1,0,2,8,15,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,류준열,1,2019,1,0,3,8,15,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,조정석,1,2019,1,0,2,8,66,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,조정석,1,2019,1,0,3,8,66,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,염정아,1,2019,1,0,2,8,67,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,염정아,1,2019,1,0,3,8,67,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,전혜진,1,2019,1,0,2,8,68,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,전혜진,1,2019,1,0,3,8,68,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,손석구,1,2019,1,0,2,8,69,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,손석구,1,2019,1,0,3,8,69,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,김기범,1,2019,1,0,2,8,70,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,김기범,1,2019,1,0,3,8,70,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,이학주,1,2019,1,0,2,8,71,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,이학주,1,2019,1,0,3,8,71,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,정수지,1,2019,1,0,2,8,72,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,정수지,1,2019,1,0,3,8,72,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,배유람,1,2019,1,0,2,8,73,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,배유람,1,2019,1,0,3,8,73,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,이성욱,1,2019,1,0,2,8,32,5
9,뺑반,15222811848,15222811848,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,이성욱,1,2019,1,0,3,8,32,5
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,라미란,5,2019,0,0,0,9,55,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,라미란,5,2019,0,0,3,9,55,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,이성경,5,2019,0,0,0,9,74,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,이성경,5,2019,0,0,3,9,74,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,윤상현,5,2019,0,0,0,9,75,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,윤상현,5,2019,0,0,3,9,75,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,최수영,5,2019,0,0,0,9,76,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,최수영,5,2019,0,0,3,9,76,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,염혜란,5,2019,0,0,0,9,36,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,염혜란,5,2019,0,0,3,9,36,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,위하준,5,2019,0,0,0,9,77,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,위하준,5,2019,0,0,3,9,77,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,주우재,5,2019,0,0,0,9,78,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,주우재,5,2019,0,0,3,9,78,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,강홍석,5,2019,0,0,0,9,79,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,강홍석,5,2019,0,0,3,9,79,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,김도완,5,2019,0,0,0,9,80,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,김도완,5,2019,0,0,3,9,80,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,이정민,5,2019,0,0,0,9,81,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,이정민,5,2019,0,0,3,9,81,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,신현숙,5,2019,0,0,0,9,82,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,신현숙,5,2019,0,0,3,9,82,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,이레,5,2019,0,0,0,9,43,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,이레,5,2019,0,0,3,9,43,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,조혜주,5,2019,0,0,0,9,83,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,조혜주,5,2019,0,0,3,9,83,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,배유람,5,2019,0,0,0,9,73,2
10,걸캅스,13807476134,13807476134,1628963,1628963,973,씨제이이앤엠(주),15세관람가,액션,정다원,배유람,5,2019,0,0,3,9,73,2
