순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
266 ,MSFF2018 희극지왕 1,,2229700 ,0.0%,2229700 ,375 ,375 ,1 ,3 ,한국,한국,,,,코미디,,
267 ,산딸기 5,1992년 1월 18일 토요일,748000 ,0.0%,748000 ,374 ,374 ,1 ,14 ,한국,한국,(주)태광영화사,,연소자관람불가,"드라마,멜로/로맨스,성인물(에로)",,"소비아,김도은"
268 ,MSFF2018 희극지왕 2,,2226700 ,0.0%,2226700 ,373 ,373 ,1 ,3 ,한국,한국,,,,코미디,,
269 ,MSFF2017 4만번의 구타 1,,2203000 ,0.0%,2203000 ,370 ,370 ,1 ,3 ,한국,한국,,,,"액션,스릴러",,
270 ,MSFF2018 비정성시 4,,2194100 ,0.0%,2194100 ,369 ,369 ,1 ,3 ,한국,한국,,,,드라마,,
271 ,MSFF2017 비정성시 3,,2211000 ,0.0%,2211000 ,368 ,368 ,1 ,3 ,한국,한국,,,,드라마,,
271 ,안녕 자두야 스페셜 : 인어공주,,736000 ,0.0%,736000 ,368 ,368 ,1 ,47 ,한국,한국,,,전체관람가,"애니메이션,코미디",손석우,양정화
273 ,MSFF2017 사랑에 관한 짧은 필름 1,,2184500 ,0.0%,2184500 ,365 ,365 ,1 ,3 ,한국,한국,,,,"멜로/로맨스,드라마",,
274 ,마당을 나온 암탉,2011년 7월 28일 목요일,1068000 ,0.0%,14674690000 ,364 ,2202788 ,1 ,24 ,한국,한국,"(주)오돌또기 ,(주)명필름",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,"오성윤,민성아","문소리,박철민,최민식,유승호,홍윤정,김한솔"
275 ,하얀 까마귀,,726000 ,0.0%,3532000 ,363 ,1766 ,1 ,10 ,한국,한국,,,,드라마,정진우,"김지미,신성일,남궁원"
276 ,피아골,1955년 9월 23일 금요일,724000 ,0.0%,1300000 ,362 ,650 ,1 ,10 ,한국,한국,백호프로덕션,,,"드라마,전쟁",이강천,"노경희,김진규,허장강,이예춘"
277 ,만추,1982년 2월 28일 일요일,709000 ,0.0%,3564000 ,361 ,1600 ,1 ,12 ,한국,한국,(주)동아수출공사,,연소자관람불가,"드라마,멜로/로맨스",김수용,"정동환,김혜자"
277 ,풍뎅이뎅이,2018년 2월 8일 목요일,2527000 ,0.0%,2527000 ,361 ,361 ,4 ,48 ,한국,한국,"(주)디씨지플러스,(주)엔에이치씨미디어",(주)콘텐츠판다,전체관람가,애니메이션,이재한,
279 ,MSFF2017 사랑에 관한 짧은 필름 3,,2156500 ,0.0%,2156500 ,360 ,360 ,1 ,3 ,한국,한국,,,,"멜로/로맨스,드라마",,
279 ,붉은 비키니 무삭제판,2017년 8월 21일 월요일,1853000 ,0.0%,1853000 ,360 ,360 ,20 ,21 ,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,"멜로/로맨스,드라마",최무연,
281 ,뽀로로 극장판 컴퓨터 왕국 대모험,2015년 12월 10일 목요일,1818000 ,0.0%,3296535700 ,355 ,446054 ,2 ,43 ,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기"
282 ,백사부인,1960년 10월 2일 일요일,706000 ,0.0%,3028000 ,353 ,1514 ,1 ,10 ,한국,한국,신필름,,,"사극,공포(호러),멜로/로맨스",신상옥,"최은희,신성일"
283 ,금욕,1976년 3월 13일 토요일,1868000 ,0.0%,1868000 ,352 ,352 ,1 ,6 ,한국,한국,남아진흥,,12세이상관람가,"드라마,멜로/로맨스",김수형,"이영옥,신성일"
284 ,두 엄마,2017년 8월 14일 월요일,1794000 ,0.0%,1794000 ,350 ,350 ,20 ,22 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이도시,이민욱
285 ,MSFF2017 희극지왕 2,,2086000 ,0.0%,2086000 ,349 ,349 ,1 ,3 ,한국,한국,,,,코미디,,
285 ,물속에서 숨 쉬는 법,,1895000 ,0.0%,1895000 ,349 ,349 ,1 ,6 ,한국,한국,,,,드라마,고현석,"윤진,김현빈,박지수,오동민"
287 ,2018 중앙영화제 일출,,1740000 ,0.0%,1740000 ,348 ,348 ,2 ,3 ,한국,한국,,,,기타,,
287 ,MSFF2018 4만번의 구타 1,,2055600 ,0.0%,2055600 ,348 ,348 ,1 ,3 ,한국,한국,,,,"액션,스릴러",,
289 ,MSFF2017 4만번의 구타 2,,2069000 ,0.0%,2069000 ,346 ,346 ,1 ,3 ,한국,한국,,,,"액션,스릴러",,
290 ,MSFF2017 비정성시 4,,2047000 ,0.0%,2047000 ,343 ,343 ,1 ,3 ,한국,한국,,,,드라마,,
291 ,감시자들,2013년 7월 3일 수요일,2856000 ,0.0%,39383018179 ,342 ,5508359 ,1 ,2 ,한국,한국,영화사 집,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션","조의석,김병서","설경구,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,강신하,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥"
