순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1106 ,성혜의 나라,,182000 ,0.0%,182000 ,37 ,37 ,1 ,2 ,한국,한국,,,,드라마,정형석,"송지인,강두"
1106 ,제 17회 미쟝센 단편영화제 수상작 특별전 단편섹션 3,,185000 ,0.0%,185000 ,37 ,37 ,1 ,3 ,한국,한국,,,,기타,,
1106 ,형슬우 감독 특별전(인디스데이),,37000 ,0.0%,37000 ,37 ,37 ,1 ,2 ,한국,한국,,,,기타,,
1112 ,12월 단편 상상극장-2018 단편 명불허전,,288000 ,0.0%,288000 ,36 ,36 ,1 ,4 ,한국,한국,,,,기타,"유재선,방성준,김도영,이영미",
1112 ,"1789, 바스티유의 연인들",2014년 9월 18일 목요일,252000 ,0.0%,75699500 ,36 ,4778 ,1 ,3 ,한국,한국,(주)패뷸러스,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"뮤지컬,공연",정성복,"루이 들로르,록산느 르 텍시에,로드 자누와,카미유 루"
1112 ,29.97 상영회,,144000 ,0.0%,144000 ,36 ,36 ,1 ,2 ,한국,한국,,,,기타,,
1112 ,낮은 목소리 2,1997년 8월 22일 금요일,232500 ,0.0%,710500 ,36 ,116 ,1 ,4 ,한국,한국,기록영화제작소보임,,연소자관람가,다큐멘터리,변영주,
1112 ,대구단편영화제 R-콘택트,,252000 ,0.0%,252000 ,36 ,36 ,1 ,2 ,한국,한국,,,,기타,,
1112 ,인디스데이 6월 단편,,36000 ,0.0%,36000 ,36 ,36 ,1 ,2 ,한국,한국,,,,기타,,
1118 ,12 하고 24,,245000 ,0.0%,245000 ,35 ,35 ,1 ,1 ,한국,한국,,,,다큐멘터리,김남석,
1118 ,FoFF 2017 - 단편1,,210000 ,0.0%,210000 ,35 ,35 ,1 ,1 ,한국,한국,,,,기타,"차정윤,김인근,한지수,정승오,이지원",
1118 ,Media art work screening 3월,,140000 ,0.0%,140000 ,35 ,35 ,1 ,2 ,한국,한국,,,,기타,,
1118 ,[인디포럼2018] 신작전 02 끝까지 간다,,245000 ,0.0%,245000 ,35 ,35 ,1 ,2 ,한국,한국,,,,기타,,
1118 ,게이봉박두 프로젝트 단편 모음,,266000 ,0.0%,266000 ,35 ,35 ,1 ,2 ,한국,한국,,,,기타,,
1118 ,그들 각자의 거리에서 –인디피크닉2018,,186000 ,0.0%,186000 ,35 ,35 ,1 ,7 ,한국,한국,,,,기타,,
1118 ,오오극장 개관 3주년 특별전 – 대구독립단편신작,,237000 ,0.0%,237000 ,35 ,35 ,1 ,1 ,한국,한국,,,,기타,,
1118 ,이어도,,236000 ,0.0%,1132000 ,35 ,209 ,1 ,6 ,한국,한국,주식회사 자파리필름,,,드라마,오멸,
1118 ,인디스데이 조현철 특별전,,35000 ,0.0%,35000 ,35 ,35 ,1 ,2 ,한국,한국,,,,기타,,
1118 ,커플즈,2011년 11월 2일 수요일,245000 ,0.0%,2705811500 ,35 ,360080 ,1 ,2 ,한국,한국,"시오필름(주),(주)바른손이앤에이",(주)싸이더스,15세이상관람가,"멜로/로맨스,코미디",정용기,"공형진,김주혁,이윤지,이시영,오정세,강대영,조성걸,최정화,김형근,조달환,배슬기,조한철,김건우,정광재,최고운,이진,윤석진,정정숙,임동현,전수지,김지운"
1128 ,3월 수요단편극장,,267000 ,0.0%,267000 ,34 ,34 ,1 ,1 ,한국,한국,,,,기타,"김광빈,김정인,홍서연",
1128 ,SIDOF2018_개막식:관찰과 기억/퀴어의 방,,331000 ,0.0%,331000 ,34 ,34 ,1 ,1 ,한국,한국,,,,다큐멘터리,"이솜이,권아람",
1128 ,[인디포럼2018] 신작전 04 몇 개의 나를 세워두고,,238000 ,0.0%,238000 ,34 ,34 ,1 ,2 ,한국,한국,,,,기타,,
1128 ,김종관 감독 특별 상영 더 테이블+최악의 하루+폴라로이드 작동법,,510000 ,0.0%,510000 ,34 ,34 ,1 ,1 ,한국,한국,,,,기타,김종관,
1128 ,단편1: 하드보일드 랜드[썸머프라이드시네마],,236000 ,0.0%,236000 ,34 ,34 ,1 ,2 ,한국,한국,,,,기타,,
1128 ,대구단편영화제 경쟁3,,236000 ,0.0%,236000 ,34 ,34 ,1 ,2 ,한국,한국,,,,기타,,
1128 ,워킹걸,2015년 1월 7일 수요일,68000 ,0.0%,1202031479 ,34 ,151584 ,1 ,1 ,한국,한국,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,청소년관람불가,"코미디,멜로/로맨스",정범식,"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,이민아,황준호,이승원,이시현,조재윤,김영옥,김보연,오나라,박상민,김승주"
1135 ,4월 수요단편극장- 3男3色,,253000 ,0.0%,253000 ,33 ,33 ,1 ,1 ,한국,한국,,,,기타,,
1135 ,AIYOUTH 2018 경쟁 언더19 (2),,66000 ,0.0%,66000 ,33 ,33 ,1 ,2 ,한국,한국,,,,기타,,
1135 ,Diff 2018 배우목격담,,230000 ,0.0%,230000 ,33 ,33 ,1 ,1 ,한국,한국,,,,드라마,,
1135 ,기억의 전쟁,,229000 ,0.0%,229000 ,33 ,33 ,1 ,1 ,한국,한국,,,,다큐멘터리,이길보라,
1135 ,변호인,2013년 12월 18일 수요일,198988 ,0.0%,82872453788 ,33 ,11374892 ,1 ,5 ,한국,한국,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,양우석,"송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,차광수,한기중,심희섭,김동현,조완기,차은재,최주희,주명철,조선묵,유하복,김봉환,지건우,최은석,최현,최정현,박상현,신안진,조기왕,조유신,이선희,장리우,정준원,이정은,이진희,민경옥,정성화,박성근,신승용,김찬이,원호섭,윤탁,한승도,조용준,정재민,권오진,이설구,노영하,장우진,이해성,김승태,신욱,황건,권영국,양명헌,정원조,윤준호,이호원,설창희,홍도성,김형석,김호진,양정인,이동현,이정건,김리후,육미옥,김호연,백성식,김선주,김가영,이준기,이형은,김서영,오병남,전광진,조현덕,김경인,이상호,김성민,류수영,박수영,이경인,최태환,김서영,이현정"
1140 ,09월 수요단편극장- 양익준을 말한다,,251000 ,0.0%,251000 ,32 ,32 ,1 ,1 ,한국,한국,,,,기타,,
1140 ,Diff 2018 경쟁7,,222000 ,0.0%,222000 ,32 ,32 ,1 ,2 ,한국,한국,,,,기타,,
1140 ,[인디포럼2017]포커스01 자력갱생 김용삼,,192000 ,0.0%,192000 ,32 ,32 ,1 ,2 ,한국,한국,,,,기타,김용삼,
1140 ,[인디포럼2017]포커스03 닥치고 돌파,,192000 ,0.0%,192000 ,32 ,32 ,1 ,2 ,한국,한국,,,,기타,,
1140 ,[인디포럼2018] 신작전 06 사라지지 않을 이유,,223000 ,0.0%,223000 ,32 ,32 ,1 ,2 ,한국,한국,,,,기타,,
1140 ,나도 때론 포르노그라피의 주인공이고 싶다 : 감독판,2016년 6월 13일 월요일,64000 ,0.0%,71000 ,32 ,33 ,1 ,2 ,한국,한국,(주)피터팬픽쳐스,(주)드림팩트엔터테인먼트,청소년관람불가,멜로/로맨스,장성수,"한지은,최리호,김영근"
1140 ,리틀보이 12725,,212000 ,0.0%,212000 ,32 ,32 ,1 ,4 ,한국,한국,,,,다큐멘터리,김지곤,
1140 ,아더왕의 전설,2016년 11월 9일 수요일,219400 ,0.0%,17510400 ,32 ,1165 ,1 ,3 ,한국,한국,(주)패뷸러스,(주)패뷸러스,전체관람가,"공연,뮤지컬",정성복,카미유 루
1140 ,제 17회 미쟝센 단편영화제 수상작 특별전 단편섹션 1,,160000 ,0.0%,160000 ,32 ,32 ,1 ,3 ,한국,한국,,,,기타,,
1140 ,제20회 부산독립영화제 - 20주년 특별전 3,,178000 ,0.0%,178000 ,32 ,32 ,1 ,1 ,한국,한국,,,,기타,,
1140 ,후궁 : 제왕의 첩,2012년 6월 6일 수요일,247000 ,0.0%,19330736000 ,32 ,2636385 ,1 ,7 ,한국,한국,(주)황기성 사단,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"사극,멜로/로맨스",김대승,"조여정,김동욱,김민준,조은지,박지영,이경영,박철민,장지민,전주병,정일원,홍수지,신민철,안석환,오지혜,이용녀,박충선"
1151 ,"6월 수요단편극장 레인보우, 일곱 빛깔의 사랑-퀴어 단편전",,246000 ,0.0%,246000 ,31 ,31 ,1 ,1 ,한국,한국,,,,기타,"김조광수,민미홍",
1151 ,7월 단편 상상극장-정하담,,248000 ,0.0%,248000 ,31 ,31 ,1 ,3 ,한국,한국,,,,기타,,
1151 ,FIWOM 2018 피움초이스3,,211600 ,0.0%,211600 ,31 ,31 ,1 ,1 ,한국,한국,,,,드라마,,
1151 ,망각과 기억2 : 돌아 봄 Part 2.,,207000 ,0.0%,207000 ,31 ,31 ,2 ,5 ,한국,한국,,,,다큐멘터리,,
1151 ,오렌지필름 기획전 - 주인공을 따라가줘!,,212000 ,0.0%,212000 ,31 ,31 ,1 ,4 ,한국,한국,,,,드라마,,
1151 ,오렌지필름 기획전-그게 아닌데,,211000 ,0.0%,211000 ,31 ,31 ,1 ,4 ,한국,한국,,,,기타,,
1151 ,이웃사람,2012년 8월 22일 수요일,195000 ,0.0%,18089332369 ,31 ,2434435 ,1 ,2 ,한국,한국,"영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러,김휘,"김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,차현우,김동현,한재훈,박인규,유재현"
1151 ,제 17회 미쟝센 단편영화제 수상작 특별전 단편섹션 2,,155000 ,0.0%,155000 ,31 ,31 ,1 ,3 ,한국,한국,,,,기타,,
1151 ,제10회 진주같은영화제 지역단편 1,,186000 ,0.0%,186000 ,31 ,31 ,1 ,1 ,한국,한국,,,,기타,,
1151 ,제20회 부산독립영화제 - 경쟁3,,170000 ,0.0%,170000 ,31 ,31 ,1 ,2 ,한국,한국,,,,기타,,
1151 ,진아의 기억 – 강진아 감독 특별전,,200000 ,0.0%,200000 ,31 ,31 ,1 ,4 ,한국,한국,,,,기타,,박명신
1162 ,노래방 : 화끈한 여자들 무삭제,2018년 11월 9일 금요일,160000 ,0.0%,160000 ,30 ,30 ,3 ,3 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,이채담
1162 ,잘 왔다. 우리 같이 살자,,150000 ,0.0%,150000 ,30 ,30 ,1 ,2 ,한국,한국,,,,다큐멘터리,서동일,
1162 ,제20회 부산독립영화제 - 20주년 특별전 1,,164000 ,0.0%,164000 ,30 ,30 ,1 ,1 ,한국,한국,,,,기타,,
1165 ,AISFF 2018 인디스토리 특별전 그룹1,,120000 ,0.0%,120000 ,29 ,29 ,1 ,1 ,한국,한국,,,,드라마,,
1165 ,[아티언스 대전 17]신도안 + 파란만장,,58000 ,0.0%,58000 ,29 ,29 ,1 ,3 ,한국,한국,,,,기타,,
1165 ,신데렐라,2006년 8월 17일 목요일,56000 ,0.0%,3334224500 ,29 ,555611 ,1 ,1 ,한국,한국,(주)미니필름,(주)쇼박스,15세관람가,공포(호러),봉만대,"도지원,신세경,김도연,조은미,나윤주,이기우,최기용,김인경,박민희,정유미,이승원,이충일,유다인,조성하"
1168 ,[인디포럼 월례비행 4월 : 박홍렬 촬영감독 단편선],,196000 ,0.0%,196000 ,28 ,28 ,1 ,1 ,한국,한국,,,,기타,,
1168 ,[인디포럼2017]스페셜01 사생활의 프로파간다,,168000 ,0.0%,168000 ,28 ,28 ,1 ,2 ,한국,한국,,,,기타,,
1168 ,거류,,194000 ,0.0%,194000 ,28 ,28 ,1 ,2 ,한국,한국,,,,다큐멘터리,김소영,
1168 ,망각과 기억2 : 돌아 봄 Part 1.,,192000 ,0.0%,192000 ,28 ,28 ,2 ,5 ,한국,한국,,,,다큐멘터리,,
1168 ,오오극장 개관 2주년 특별전 - 대구독립단편,,194000 ,0.0%,194000 ,28 ,28 ,1 ,1 ,한국,한국,,,,드라마,"김혜진,김현정,장병기",
1168 ,제10회 진주같은영화제 지역단편 2,,168000 ,0.0%,168000 ,28 ,28 ,1 ,1 ,한국,한국,,,,기타,,
1174 ,MSFF2017 전년도 수상작 1,,162000 ,0.0%,162000 ,27 ,27 ,1 ,1 ,한국,한국,,,,기타,,
1174 ,영원한 제국,1995년 1월 28일 토요일,54000 ,0.0%,1768000 ,27 ,884 ,1 ,4 ,한국,한국,대림영상,,연소자관람가,"미스터리,사극",박종원,"김혜수,최종원,조재현,안성기,유순철,김명곤,김희라,김일우,이병준,박충선"
1174 ,우리에게 내일은 없다,2007년 5월 17일 목요일,64000 ,0.0%,22063500 ,27 ,3329 ,1 ,2 ,한국,한국,청년필름(주),스폰지,15세이상관람가,드라마,노동석,"김병석,김용균,최재성,최두영,유아인,강병화,김효관,송정민,신동석,조민석,안몽식,표용수,최성진,김수덕,정승주,이용택,이창윤,이윤형,김준기,박명신"
1174 ,한해인 배우전,,241000 ,0.0%,241000 ,27 ,27 ,1 ,1 ,한국,한국,,,,기타,,
1178 ,12월 수요단편극장-로맨스를 원해?!,,205000 ,0.0%,205000 ,26 ,26 ,1 ,1 ,한국,한국,,,,기타,,
1178 ,Diff 2018 경쟁5,,180000 ,0.0%,180000 ,26 ,26 ,1 ,2 ,한국,한국,,,,기타,,
1178 ,FIWOM 2018 피움초이스5,,182000 ,0.0%,182000 ,26 ,26 ,1 ,1 ,한국,한국,,,,드라마,,
1178 ,[인디포럼2018] 포워드 01 사운드 퍼포먼스,,181000 ,0.0%,181000 ,26 ,26 ,1 ,2 ,한국,한국,,,,기타,,
1178 ,사람이 산다,,139000 ,0.0%,1688000 ,26 ,299 ,1 ,4 ,한국,한국,,,,다큐멘터리,송윤혁,
1178 ,영하의 바람,,142000 ,0.0%,142000 ,26 ,26 ,1 ,2 ,한국,한국,,,,드라마,김유리,"신동미,박종환"
1178 ,장편을 준비하는 이유있는 단편 (인디스데이),,26000 ,0.0%,26000 ,26 ,26 ,1 ,2 ,한국,한국,,,,기타,,
1185 ,#감독과의대화,,171000 ,0.0%,171000 ,25 ,25 ,1 ,1 ,한국,한국,,,,드라마,,
1185 ,[작은영화영화제]KAFA 초대전,,25000 ,0.0%,25000 ,25 ,25 ,1 ,1 ,한국,한국,,,,,,
1185 ,[작은영화영화제]인디다큐페스티발 초대전,,25000 ,0.0%,25000 ,25 ,25 ,1 ,1 ,한국,한국,,,,기타,,
1185 ,나의 교실,,77500 ,0.0%,1818500 ,25 ,393 ,1 ,2 ,한국,한국,,,전체관람가,다큐멘터리,한자영,
1185 ,네마프2017-한국구애전/단편4,,125000 ,0.0%,125000 ,25 ,25 ,1 ,1 ,한국,한국,,,,기타,,
1185 ,뉴커런츠 신예 감독전(인디스데이),,25000 ,0.0%,25000 ,25 ,25 ,1 ,2 ,한국,한국,,,,기타,,
1185 ,산불,1967년 4월 22일 토요일,171500 ,0.0%,171500 ,25 ,25 ,1 ,1 ,한국,한국,태창흥업,,미정,드라마,김수용,"신영균,주증녀,도금봉,황정순"
1185 ,인디스데이 5월 단편,,25000 ,0.0%,25000 ,25 ,25 ,1 ,2 ,한국,한국,,,,기타,,
1185 ,친구들 : 숨어있는 슬픔,,150000 ,0.0%,150000 ,25 ,25 ,1 ,1 ,한국,한국,,,,기타,,
1194 ,SIDOF2017_폐막식,,234000 ,0.0%,234000 ,24 ,24 ,1 ,1 ,한국,한국,,,,다큐멘터리,,
1194 ,[작은영화영화제]인디포럼 초대전,,24000 ,0.0%,24000 ,24 ,24 ,1 ,1 ,한국,한국,,,,기타,,
1194 ,사방지,1988년 10월 29일 토요일,240000 ,0.0%,240000 ,24 ,24 ,1 ,1 ,한국,한국,인창영화(주),,연소자관람불가,사극,송경식,"이혜영,방희,곽정희,박암,김지영"
1194 ,인디스데이 11월,,24000 ,0.0%,24000 ,24 ,24 ,1 ,2 ,한국,한국,,,,기타,,
1194 ,히말라야의 시지프스: 네팔 포터 이야기,,108000 ,0.0%,108000 ,24 ,24 ,1 ,2 ,한국,한국,,,,다큐멘터리,황준성,
1199 ,[작은영화영화제]인디애니페스트 2018 초대전,,23000 ,0.0%,23000 ,23 ,23 ,1 ,1 ,한국,한국,,,,애니메이션,"한지원,김준기,최민호",
1199 ,박선주 감독전,,153000 ,0.0%,153000 ,23 ,23 ,1 ,1 ,한국,한국,,,,기타,,
1199 ,을식이는 재수 없어,,230000 ,0.0%,230000 ,23 ,23 ,1 ,1 ,한국,한국,"(주)얼리버드픽쳐스,(주)쏘울 크리에이티브",,전체관람가,애니메이션,"김대창,황철",
1199 ,제20회 부산독립영화제 - 20주년 특별전 4,,124000 ,0.0%,124000 ,23 ,23 ,1 ,1 ,한국,한국,,,,기타,,
1203 ,Diff 2018 경쟁2,,151000 ,0.0%,151000 ,22 ,22 ,1 ,2 ,한국,한국,,,,기타,,
1203 ,SIDOF2018_안녕하십니까 대통령입니다/주민등록증을 찢어라,,110000 ,0.0%,110000 ,22 ,22 ,1 ,2 ,한국,한국,,,,다큐멘터리,이마리오,
1203 ,대구단편영화제 경쟁8,,148000 ,0.0%,148000 ,22 ,22 ,1 ,2 ,한국,한국,,,,기타,,
1203 ,미쓰 홍당무,2008년 10월 16일 목요일,165000 ,0.0%,3604288500 ,22 ,539121 ,1 ,4 ,한국,한국,(주)모호필름,(주)벤티지홀딩스,청소년관람불가,"드라마,코미디",이경미,"공효진,이종혁,서우,황우슬혜,서영주,김희영,박지수,박찬욱,정준수,장진영,장혜진,양현진,배성우,라미란,최희진"
1203 ,연애의 온도,2013년 3월 21일 목요일,198000 ,0.0%,13800120446 ,22 ,1865354 ,1 ,2 ,한국,한국,(주)뱅가드스튜디오,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"멜로/로맨스,코미디",노덕,"이민기,김민희,최무성,라미란,장영준,정여진,조치언,박명규,권유진,박병은,하연수,김강현"
1203 ,외박,,67500 ,0.0%,523500 ,22 ,114 ,1 ,2 ,한국,한국,,,,다큐멘터리,김미례,
1209 ,12월 단편 상상극장-2017 단편 명불허전,,167200 ,0.0%,167200 ,21 ,21 ,1 ,4 ,한국,한국,,,,기타,,
1209 ,6월 단편 상상극장-TEAM OMOK,,168000 ,0.0%,168000 ,21 ,21 ,1 ,4 ,한국,한국,,,,기타,,
1209 ,AIYOUTH 2018 경쟁 언더24 (2),,29000 ,0.0%,29000 ,21 ,21 ,1 ,2 ,한국,한국,,,,기타,,
1209 ,Diff 2018 미드나잇 시네마,,147000 ,0.0%,147000 ,21 ,21 ,1 ,1 ,한국,한국,,,,기타,,
1209 ,[네마프2018]한국 단편 4 - 장르의 가능성 I,,105000 ,0.0%,105000 ,21 ,21 ,1 ,2 ,한국,한국,,,,기타,,
1209 ,경성학교: 사라진 소녀들,2015년 6월 18일 목요일,146000 ,0.0%,2749755100 ,21 ,356436 ,1 ,2 ,한국,한국,"청년필름(주),비밀의화원",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"미스터리,드라마",이해영,"박보영,엄지원,박소담,공예지,주보비,박성연,심희섭,고원희,박주희,이혜리,박지선,조원철,최영근,최지명,신수연,김경애,김대성,김대호,오현정,김동현,이다희,황석영,이연정,이예은,이은경,윤정미,서미지,목규리"
1209 ,김예은 배우전,,141000 ,0.0%,141000 ,21 ,21 ,1 ,1 ,한국,한국,,,,기타,,
1209 ,낯선 자들의 땅,,106000 ,0.0%,106000 ,21 ,21 ,1 ,2 ,한국,한국,,,,기타,오원재,
1209 ,룸싸롱 맛있는 서비스 무삭제,2018년 11월 13일 화요일,115000 ,0.0%,115000 ,21 ,21 ,20 ,21 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
1209 ,하나가 되는 것은 더욱 커지는 일이다,,131400 ,0.0%,131400 ,21 ,21 ,1 ,2 ,한국,한국,,시네마달,12세이상관람가,다큐멘터리,"김동원,문원립",
1209 ,할매-서랍,,105000 ,0.0%,105000 ,21 ,21 ,1 ,3 ,한국,한국,'탁주'조합,,,다큐멘터리,김지곤,
1220 ,Out : 이반검열 두 번째 이야기,,108500 ,0.0%,713500 ,20 ,141 ,1 ,3 ,한국,한국,페미니스트비디오액티즘,,,다큐멘터리,"페미니스트비디오액티즘,이영",
1220 ,가끔 구름,,140000 ,0.0%,140000 ,20 ,20 ,1 ,4 ,한국,한국,,,,드라마,박송열,
1220 ,김숙현 감독전,,138000 ,0.0%,138000 ,20 ,20 ,1 ,2 ,한국,한국,,,,기타,김숙현,
1220 ,"꿈, 떠나다",,100000 ,0.0%,100000 ,20 ,20 ,1 ,2 ,한국,한국,,,,다큐멘터리,섹알마문,
1220 ,늑대부대를 찾아서,,67500 ,0.0%,67500 ,20 ,20 ,1 ,2 ,한국,한국,,,,다큐멘터리,김미례,
1220 ,마이 로맨틱 썸 레시피,,195000 ,0.0%,195000 ,20 ,20 ,1 ,1 ,한국,한국,,,,드라마,,
1220 ,밀애 : 착한 형수,2018년 12월 27일 목요일,105000 ,0.0%,105000 ,20 ,20 ,20 ,20 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,이채담
1220 ,인디스데이 8월 단편,,20000 ,0.0%,20000 ,20 ,20 ,1 ,2 ,한국,한국,,,,기타,,
1220 ,제 16회 미쟝센 단편 영화제 폐막작 1,,200000 ,0.0%,200000 ,20 ,20 ,1 ,1 ,한국,한국,,,,기타,,
1220 ,제 16회 미쟝센 단편 영화제 폐막작 2,,200000 ,0.0%,200000 ,20 ,20 ,1 ,1 ,한국,한국,,,,기타,,
1220 ,"찬란한 데뷔, 청년 시네마-단편섹션 2",,20000 ,0.0%,20000 ,20 ,20 ,1 ,4 ,한국,한국,,,,기타,,
1231 ,2월 수요단편극장 “2016년을 빛낸 단편영화”,,146000 ,0.0%,146000 ,19 ,19 ,1 ,1 ,한국,한국,,,,,"이란희,박성진,홍지수",
1231 ,Media art work screening 6월,,76000 ,0.0%,76000 ,19 ,19 ,1 ,1 ,한국,한국,,,,기타,,
1231 ,roooom,,90000 ,0.0%,90000 ,19 ,19 ,1 ,1 ,한국,한국,,,,,최익환,
1231 ,간신,2015년 5월 21일 목요일,157000 ,0.0%,8947046910 ,19 ,1110274 ,1 ,8 ,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류아벨,김강일,정만식,최일화,전여빈,박명신"
1231 ,공원생활+콘크리트의 불안,,114000 ,0.0%,114000 ,19 ,19 ,1 ,2 ,한국,한국,,,,기타,,
1231 ,광인,,103000 ,0.0%,273000 ,19 ,53 ,1 ,16 ,한국,한국,,,,기타,"조재형,윤수안",
1231 ,대구단편영화제 경쟁5,,131000 ,0.0%,131000 ,19 ,19 ,1 ,2 ,한국,한국,,,,기타,,
1231 ,베를린,2013년 1월 30일 수요일,118000 ,0.0%,52357124637 ,19 ,7166532 ,1 ,3 ,한국,"한국,독일","(주)외유내강,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,액션,류승완,"하정우,한석규,류승범,전지현,이경영,최무성,곽도원,김서형,백승익,배정남"
1231 ,안양국제청소년영화제 국내 경쟁 1 (언더 19),,51000 ,0.0%,51000 ,19 ,19 ,1 ,2 ,한국,한국,,,,기타,,
1231 ,영화로운 세계(인디스데이),,19000 ,0.0%,19000 ,19 ,19 ,1 ,2 ,한국,한국,,,,기타,,
1231 ,오오극장 개관 3주년 특별전 – 문혜인 배우전,,129000 ,0.0%,129000 ,19 ,19 ,1 ,1 ,한국,한국,,,,기타,,
1231 ,인디포럼 월례비행 12월 단편선 : 연약한 마음의 힘,,133000 ,0.0%,133000 ,19 ,19 ,1 ,1 ,한국,한국,,,,기타,,
1243 ,FIWOM 2018 피움초이스2,,126000 ,0.0%,126000 ,18 ,18 ,1 ,1 ,한국,한국,,,,기타,,
1243 ,그림자,2007년 10월 18일 목요일,54000 ,0.0%,2610000 ,18 ,453 ,1 ,1 ,한국,한국,"(주)디씨지플러스,롬버스 미디어",(주)스폰지이엔티,15세이상관람가,"공포(호러),드라마","이정국,김민숙","전보영,이무생,송봉한,신용섭,강성원,강지혜,윤대성,정민욱,이웅,이헌용,이희준,최종률"
1243 ,극장판 프랭키와 친구들: 생명의 나무,2016년 4월 13일 수요일,101000 ,0.0%,410661600 ,18 ,56860 ,1 ,7 ,한국,한국,프랭키영화문화산업전문(주),예지림엔터테인먼트,전체관람가,애니메이션,박정오,"박정오,이소은"
1243 ,대구단편 1,,90000 ,0.0%,90000 ,18 ,18 ,1 ,2 ,한국,한국,,,,기타,,
1243 ,우경,,124000 ,0.0%,124000 ,18 ,18 ,1 ,1 ,한국,한국,,,,,,
1248 ,4월 수요단편극장 한국영화아카데미(KAFA) 특별전,,136000 ,0.0%,136000 ,17 ,17 ,1 ,1 ,한국,한국,,,,,,
1248 ,Diff 2018 특별섹션2,,118000 ,0.0%,118000 ,17 ,17 ,1 ,1 ,한국,한국,,,,드라마,,
1248 ,가슴에 돋는 칼로 슬픔을 자르고,1992년 11월 7일 토요일,119000 ,0.0%,119000 ,17 ,17 ,1 ,4 ,한국,한국,영필름,,연소자관람불가,"드라마,멜로/로맨스",홍기선,"조재현,김진녕,오연수,박충선"
1248 ,구교환 배우전 - 단편 2,,85000 ,0.0%,85000 ,17 ,17 ,1 ,3 ,한국,한국,,,,기타,,
1248 ,김시은 배우 특별전(인디스데이),,17000 ,0.0%,17000 ,17 ,17 ,1 ,2 ,한국,한국,,,,기타,,
1248 ,무스탕 가는 길,,79000 ,0.0%,79000 ,17 ,17 ,1 ,2 ,한국,한국,,,,다큐멘터리,정형민,
1248 ,알피니스트,,85000 ,0.0%,355800 ,17 ,64 ,1 ,3 ,한국,한국,,,,다큐멘터리,"임일진,김민철",
1248 ,오렌지필름 영화제 우리에겐 새로움이 필요해!,,113000 ,0.0%,113000 ,17 ,17 ,1 ,1 ,한국,한국,,,,기타,,
1248 ,오싹한 연애,2011년 12월 1일 목요일,111000 ,0.0%,22011287000 ,17 ,3009406 ,1 ,4 ,한국,한국,상상필름(주),씨제이이앤엠(주),12세이상관람가,"공포(호러),멜로/로맨스,코미디",황인호,"손예진,이민기,신동훈,김혜숙,조아라,박재우,태리,최우진,이현진,이미도,송지인,황승언"
1248 ,제11회 대단한단편영화제 개막식,,136000 ,0.0%,136000 ,17 ,17 ,1 ,1 ,한국,한국,,,,기타,,
1248 ,제11회 대단한단편영화제 폐막식,,136000 ,0.0%,136000 ,17 ,17 ,1 ,1 ,한국,한국,,,,기타,,
1259 ,Media art work screening 9월,,64000 ,0.0%,64000 ,16 ,16 ,1 ,2 ,한국,한국,,,,기타,,
1259 ,[인디포럼2018] 폐막식,,160000 ,0.0%,160000 ,16 ,16 ,1 ,1 ,한국,한국,,,,기타,,
1259 ,新 가족시네마(인디스데이),,16000 ,0.0%,16000 ,16 ,16 ,1 ,2 ,한국,한국,,,,기타,,
1259 ,대구단편영화제 배우목격담 이상희,,112000 ,0.0%,112000 ,16 ,16 ,1 ,1 ,한국,한국,,,,기타,,
1259 ,피로,,104000 ,0.0%,724000 ,16 ,128 ,1 ,2 ,한국,한국,,,,드라마,김동명,"송영수,정아영,이두성"
