개별감독,누적매출액,누적관객수,스크린수
김정민,470006500,70900,175
손석,745451500,69425,179
이상용,459533500,67602,170
유영선,594373400,67368,212
채두병,522938900,66883,338
정영배,424270000,66033,226
박수영,465532500,64371,204
장재혁,552273700,63279,47
조운,462025000,61414,196
박중구,439400000,60944,160
김진민,380148500,60664,83
김지열,486548700,60561,191
이성태,459566121,60365,397
이형선,363899000,59806,127
조남호,389374500,59695,178
오덕환,357352000,57943,8
임권택,362910000,57261,2
정종훈,354839000,56958,20
박정오,410661600,56860,1
변진호,470487200,56200,1
김은숙,363240500,55656,18
김성기,463512262,55366,488
이장수,404450000,54981,134
조창호,406445000,54827,135
허준형,417495600,53610,472
강유선,395122050,51040,1
프라챠 핀카엡,351561500,51024,153
양종현,386192500,50730,168
송동윤,309575000,50699,125
박은경,369339300,50196,305
고경민,360833100,48279,536
송민규,363098800,48010,1
정재은,304884500,47935,101
이성재,322716200,47563,347
남택수,315291000,47105,172
마대윤,350293300,46623,361
박창진,348951800,46009,259
이서군,334295900,45180,1
조치언,314552400,44216,1
남상국,254315500,41401,1
박진영,332232550,41054,457
정미화,312710450,41054,294
장성,310302500,41043,172
구혜선,286555812,39895,34
이창열,297957300,38262,390
김명균,284106600,37909,236
박성훈,227157000,36865,84
임상준,230047000,35578,171
아론 우들리,257040200,35436,312
최진성,251010500,33845,2
장용우,213528000,33131,74
권영락,229786500,32628,1
김지혜,245549900,31742,417
임원국,181323000,31236,162
박한준,187798000,30435,22
한명구,188350500,29129,1
박정훈,221371000,28964,165
서민영,182990000,26962,132
한상희,162896300,25631,90
이광훈,159310500,25292,6
박기형,158080900,24682,1
이수성,149337600,24269,125
백창주,192005000,24163,30
김진수,189780200,23927,2
구봉회,184194000,23802,81
김문흠,161959057,22900,1
홍헌표,164797700,21947,168
방형우,144062800,21939,91
김지연,173844100,21687,124
서태지,199452100,21678,9
이상근,173422500,21424,23
김준,120106500,21177,53
서세원,132385000,20798,70
김은경,120192500,19812,14
박희준,132577300,19098,177
오석근,109587000,16665,33
구모,126155400,15882,228
진달래,10820000,15410,14
박일호,124642700,15095,117
이숭환,33909050,14823,169
김혁,158670000,14601,24
유상욱,88488000,14323,30
김조광수,94887000,13110,1
원종식,90958800,13106,210
정성복,178482900,12883,59
주호성,82417500,12457,27
이서,99263100,12103,133
경석호,39919000,11872,144
신정균,42187500,10897,85
이수인,68938500,10745,20
키리야 카즈아키,80160964,10710,95
허선,73587800,10612,126
남기남,59041500,10083,54
심광진,62578000,9960,57
안철호,72481500,9732,66
듀안 아들러,73741600,9368,96
최원섭,69364000,9089,33
이혁종,61641900,8752,61
마이클 강,56277500,8321,21
이세일,17575000,8251,35
최필곤,45334000,7956,18
기대호,38690000,7659,176
강세진,49564000,7448,20
곽기원,47050000,7414,37
문제대,51682500,7408,1
송창용,52062000,7042,125
